time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293170.027366,192,76,1,2,15,250,5,5,255,49,173,228,91,255,4,227,62,41,43,243
1773293170.177614,31,221,255,255,255,254,9,6,255,49,175,227,91,255,4,227,84,41,41,243
1773293170.326946,111,111,255,255,255,255,9,12,255,49,175,227,90,255,4,227,84,41,41,243
1773293170.475925,191,0,255,0,15,255,12,14,255,49,175,227,90,255,4,227,84,41,41,243
1773293170.6277492,15,146,255,255,255,255,11,14,255,49,182,226,89,255,4,227,158,41,43,243
1773293170.777652,95,35,255,255,255,255,8,2,255,49,197,223,89,255,4,227,58,42,41,243
1773293170.9270458,175,180,255,0,15,255,6,3,255,49,205,222,88,255,4,227,134,42,39,242
1773293171.077334,255,69,254,255,255,255,8,11,255,49,205,222,88,255,4,227,134,42,41,243
1773293171.227493,79,215,255,255,255,255,4,15,255,49,205,222,87,255,4,227,134,42,41,243
1773293171.377512,159,104,255,255,255,255,3,20,255,49,205,222,86,255,4,227,134,42,41,243
1773293171.527665,239,4,255,255,255,255,3,0,255,49,205,222,86,255,4,227,134,42,43,243
1773293171.676051,63,149,255,255,255,255,0,0,255,49,205,222,85,255,4,227,134,42,43,243
1773293171.827519,143,28,255,255,255,255,0,0,255,49,205,222,85,255,4,227,134,42,43,243
1773293171.97757,223,174,255,255,255,255,0,0,255,49,205,222,85,255,4,227,134,42,39,243
1773293172.1278012,47,75,255,255,255,255,0,0,255,49,205,222,84,255,4,227,134,42,41,243
1773293172.277558,127,218,255,255,255,255,1,0,255,49,205,222,84,255,4,227,134,42,41,243
1773293172.42559,207,109,254,255,255,255,1,0,255,49,205,222,83,255,4,227,134,42,41,243
1773293172.576053,31,253,255,255,255,255,1,0,255,49,205,222,82,255,4,227,134,42,41,243
1773293172.72624,111,142,255,255,255,255,0,0,255,49,205,222,82,255,4,227,134,42,41,243
1773293172.876012,191,32,255,255,255,255,0,0,255,49,205,222,82,255,4,227,134,42,41,243
